,train_losses,val_losses,type_f1s,polarity_f1s,tense_f1s,certainty_f1s
0,1.0296493398342597,0.86331812269016,0.6963356063337726,0.6943411991008118,0.6825258400008413,0.6600292563267227
1,0.6423742166015411,0.36651423323095533,0.9152636941568374,0.9647990624544016,0.9337073680984754,0.9074729610543002
2,0.25222688639819696,0.12487108000175172,0.9675561568982595,0.9940960968660698,0.977588159273541,0.9712853796914251
3,0.0938699634589921,0.04464175611660744,0.988622028770439,0.9978140248590281,0.9907036878762593,0.991080439878806
4,0.03834049039196835,0.018237504890246878,0.9943090174832572,0.9990663453195241,0.9943307484036386,0.9975177201381383
5,0.01855802561624991,0.014732535312464691,0.9957045200869662,0.9995057510706552,0.9960452059104496,0.9947826392621243
6,0.01045814775149973,0.007367465929304675,0.9979567703944899,0.9996485161222707,0.9965612890179402,0.998978543374874
7,0.006735491676635574,0.006913071807245287,0.9981655562392212,0.999626552935267,0.9969566332114774,0.9987808403744305
8,0.004651904714142779,0.005615950571601333,0.9985939713472786,0.9997254074554578,0.9973961421386238,0.9990224772889196
9,0.003581380931948142,0.0059039744958110825,0.9980118093041161,0.9997803274224928,0.9973964617389041,0.9994068978051175
10,0.002769140611277689,0.004187981278800115,0.9991981532727564,0.9997693439807702,0.9980996540299563,0.9993409972945968
11,0.002394820046809233,0.006341770733927209,0.9982533831805039,0.9997473837484407,0.9981216730530087,0.99881379257591
12,0.002107662965539635,0.006086373318930707,0.9988027473381524,0.9997583559498828,0.9977809881085823,0.9990114938132583
13,0.0018175210466528876,0.0058902552499224105,0.9988136888876721,0.9998681984366127,0.9972866623347634,0.9993190304445911
